Coc\ID,city,CocState
1040,Austin,TX
1503,LAKEPORT,CA
1288,DENTON,MD
1056,Bakersfield,CA
1012,Ukiah,CA
1336,Bremerton,WA
1220,Los Angeles,CA
1357,Atlanta,GA
1006,,AL
1027,,SC
1099,Durham,NC
1014,,PR
1179,,KY
1472,,TN
1291,JACKSON,TN
1311,COOKEVILLE,TN
1072,Nashville,TN
1403,Hohlenwald,TN
1154,Memphis,TN
1167,SPARTANBURG,SC
1236,,SC
1180,San Juan,PR
1175,,NC
1253,,NC
1004,BELMONT,NC
994,,NC
1098,,NC
1425,LEAVENWORTH,KS
1341,LILLINGTON,NC
1326,KANSAS CITY,MO
1241,,NC
1147,WINSTON SALEM,NC
1111,Ocean Springs,MS
1298,,MS
1219,WHITE RIV JCT,VT
1121,JACKSON,MS
1002,LEXINGTON,KY
1149,LOUISVILLE,KY
1375,Cartersville,GA
1315,,CA
1463,Jackson,CA
1066,CLAREMONT,NH
1176,BURLINGTON,VT
1011,El Reno,OK
1029,CHARLOTTESVLE,VA
1228,EL PASO,TX
1285,,OR
1163,,NJ
1216,,GA
963,Athens,GA
1276,Naples,FL
1017,,FL
1299,PORT CHARLOTTE,FL
1031,Fort Lauderdale,FL
1160,MIAMI,FL
1424,HOMOSASSA,FL
1423,,FL
1422,,FL
1225,Marianna,FL
1414,OCALA,FL
1239,,FL
1133,GAINESVILLE,FL
970,TALLAHASSEE,FL
1238,,FL
1234,Lakeland,FL
1079,Redwood City,CA
1449,EUREKA,CA
1301,Tampa,FL
1380,,AL
1395,Tahlequah,OK
1363,PARAGOULD,AR
1359,Birmingham,AL
1317,,MA
988,,MA
1212,LOWELL,MA
1314,CAMBRIDGE,MA
992,BRIDGEPORT,CT
1081,Woodstock,VA
1172,,VA
1275,BEND,OR
1092,BALTIMORE,MD
1355,"Renton,",WA
1213,Bangor,ME
1273,Salem,OR
1266,Fall River,MA
973,,CO
1269,SHERIDAN,WY
1090,Cortez,CO
1095,,NM
1416,DENTON,TX
1184,,LA
1351,RACINE,WI
1337,SCRANTON,PA
1232,,PA
1145,SANTA FE,NM
1019,New York,NY
1506,Newburgh,NY
1376,Youngstown,OH
1280,Little Falls,MN
1037,Brooklyn,NY
1001,CHAMPAIGN,IL
1370,NORRISTOWN,PA
1494,Bishop,CA
1084,Los Banos,CA
1142,Ravenna,OH
1159,,IL
1070,WACO,TX
1248,MUNCIE,IN
1383,,IL
1461,Marysville,CA
1264,KALISPELL,MT
979,,CA
1151,,MI
1202,Elizabethtown,PA
1146,READING,PA
1117,Ventura,CA
1293,Westerly,RI
1141,MANCHESTER,NH
1158,PITTSFIELD,MA
1205,Boston,MA
1387,,IA
1333,XXX,CT
1013,Salt Lake City,UT
996,OKLAHOMA CITY,OK
1321,,CO
1107,HOUSTON,TX
1157,ABERDEEN,MD
1148,Wood,VA
1208,WASHINGTON,DC
1059,San Antonio,TX
1097,,SD
1227,Farmington,NY
1410,SCHENECTADY,NY
1360,ASBURY PARK,NJ
1199,Indianapolis,IN
1348,willmar,MN
1365,JANESVILLE,WI
978,Athens,OH
1046,,NV
1108,COATESVILLE,PA
1331,RENO,NV
1505,,MP
1010,JACKSON,MI
1105,,AK
1419,San Diego,CA
1194,Cleveland,OH
1129,Moorhead,MN
1082,Red Lake,MN
1349,,MN
1323,MINNETONKA,MN
1136,FREEPORT,IL
1390,,IL
1386,OMAHA,NE
1048,,MO
1270,Chicago,IL
1229,,LA
1246,PONCHATOULA,LA
1182,AMARILLO,TX
1436,Ballston Spa,NY
1455,Albany,NY
1222,Gowanda,NY
1325,Silver Spring,MD
1411,Greenbelt,MD
1242,El Centro,CA
1396,,CA
1508,Grass Valley,CA
1036,MANKATO,MN
1392,Las Vegas,NV
1504,RED BLUFF,CA
1115,,CA
1338,Richmond,CA
1206,San Jose,CA
1328,PITTSFIELD,NY
1101,ROCHESTER,PA
1055,MESA,AZ
1399,SAFFORD,AZ
1023,Elizabeth,NJ
1372,VANCOUVER,WA
960,EVERETT,WA
1075,Spokane,WA
1063,Corvallis,OR
1384,MEDFORD,OR
1356,PORTLAND,OR
1252,BATTLE CREEK,MI
1366,TRAVERSE CITY,MI
1007,,MI
1262,Ypsilanti,MI
1061,Kalamazoo,MI
1195,DETROIT,MI
1391,,MO
1367,Des Moines,IA
1318,Roseville,MI
999,CLARKSTON,ID
1432,SALEM,NJ
1329,NEWARK,NJ
1340,BRIDGETON,NJ
1260,ALEXANDRIA,VA
1374,Virginia Beach,VA
976,Milford,DE
1258,Grand Island,NE
1271,,CA
1282,SANTA MARIA,CA
1398,Lafayette,LA
1003,Norman,OK
1144,LITTLE ROCK,AR
983,Hyannis,MA
1310,Olathe,KS
1196,,KS
1198,Hilo,HI
998,san bernardino,CA
1389,Honolulu,HI
967,,CA
1247,SANTA ROSA,CA
1135,PITTSFIELD,NY
1415,ROCHESTER,NY
1362,San Francisco,CA
1174,,NJ
1073,Somerville,NJ
1087,LEESBURG,VA
1344,,CA
1052,OAKLAND,CA
1183,,AZ
1110,,KS
1089,,NJ
1378,Bayville,NJ
1022,Perth Amboy,NJ
1221,,NJ
1181,,NJ
1369,,NJ
1240,NORTHFIELD,NJ
1005,,MI
1368,SOUTHBRIDGE,MA
997,,WV
982,WHEELING,WV
1462,S LAKE TAHOE,CA
1207,,MD
1342,Glen Burnie,MD
1058,Fairfield,CA
1156,Marina,CA
1032,Columbus,OH
1371,BATON ROUGE,LA
986,SHREVEPORT,LA
1131,,MA
1035,,VA
1218,ALBANY,NY
1243,,MO
1418,South Sioux City,IA
1188,DECATUR,IL
1446,Richmond,VA
961,East St. Louis,IL
1071,,IL
1475,BRYAN,TX
1358,,TX
1128,York,PA
966,Philadelphia,PA
1057,Charleston,WV
1192,HUGHESVILLE,MD
1467,SAINT CHARLES,MO
1509,Fort Collins,CO
1168,,PA
1080,PITTSBURGH,PA
1067,,PA
1401,Tulsa,OK
1237,,PA
1382,Pasadena,CA
1302,San Luis Obispo,CA
1150,Lincoln,NE
1053,MCHENRY,IL
1103,Napa,CA
1312,Wilmington,NC
1210,JOLIET,IL
1113,,CA
1187,LYNN,MA
1190,,MD
1350,Akron,OH
1334,FREDERICK,MD
1406,EMPIRE,CA
981,Virginia,MN
1244,,OH
1034,KINGSPORT,TN
1249,,VA
1226,Sacramento,CA
1125,BUFFALO,NY
1068,Chester,PA
1413,,AL
1016,Camden,SC
1039,FREDERICKSBRG,VA
958,AUGUSTA,GA
1417,Hanford,CA
1104,GRANITE CITY,IL
1193,,NH
1204,MONROE,LA
1060,SAVANNAH,GA
1217,SYRACUSE,NY
1313,KEY WEST,FL
1086,,MI
1051,FRESNO,CA
1385,VERO BEACH,FL
1497,,GA
1345,LANSING,MI
1096,,MI
1259,DOYLESTOWN,PA
1404,SPRINGFIELD,MA
1130,PIKESVILLE,MD
1000,HAGERSTOWN,MD
1283,,GU
1155,,MD
1076,Plano,TX
951,MARIETTA,GA
1065,CINCINNATI,OH
1250,CHATTANOOGA,TN
1373,,CA
1109,SALEM,VA
1230,,NY
1388,Stockton,CA
1496,Decatur,GA
1296,,FL
1473,,TX
1339,Westminster,MD
1120,CHARLOTTE,NC
1134,CUMBERLAND,MD
1047,,WI
1123,Norwich,NY
962,PEORIA,IL
1381,,FL
1327,BOONE,NC
985,,MI
971,Muskegon,MI
1085,GRAND HAVEN,MI
1132,,MN
1137,,CA
1428,,MI
1138,Jersey City,NJ
1215,DAYTON,OH
1164,,MA
1267,St. Augustine,FL
1189,HINES,IL
1231,,AL
1284,Arlington,VA
1437,Erie,PA
1278,CLEARWATER,FL
1254,,UT
1200,,VA
1033,MADISON,WI
1352,,VA
1471,Stigler,OK
1045,ROGERS,AR
1209,TULSA,OK
1008,,OR
1450,,CA
1041,JACKSONVILLE,IL
1015,MONROE,MI
1020,Anoka,MN
1018,OAKLAND,MD
1377,FLINT,MI
1272,WEBB CITY,MO
1143,Vienna,VA
952,FLORENCE,AL
1201,KINGSTON,NY
1268,ITHACA,NY
1127,PROVO,UT
1021,Anchorage,AK
1126,,TN
1361,HUNTINGTON,WV
1042,Haverstraw,NY
1408,,MI
1435,LOWVILLE,NY
1177,KNOXVILLE,TN
1118,HUNTSVILLE,AL
1332,Titusville,FL
1470,LAWTON,OK
1038,ORLANDO,FL
1153,Springfield,MO
1116,MARYLAND HTS,MO
1434,HUDSON,NY
1289,Grand Forks,ND
977,METROPOLIS,IL
954,,FL
991,EUGENE,OR
1028,Glen Ellyn,IL
1119,,ID
1290,Springfield,IL
1305,,NY
1256,Christiansted,VI
974,NEWBURGH,NY
1294,Utica,NY
1025,Tuscaloosa,AL
1233,Tacoma,WA
1088,,FL
1257,NEWTON,IL
1421,AVON PARK,FL
