city,state,median household income (dollars)_2019,monthly cost_2019,owner occupied income_2019,owner occupied cost_2019,renter occupied income_2019,renter occupied cost_2019
aberdeen--bel air south--bel air north,md,90166,1388,103767,1463,52866,1285
abilene,tx,51913,864,69349,820,36183,882
aguadilla--isabela--san sebastián,pr,16582,193,20611,172,9248,412
akron,oh,51928,834,67171,866,31352,809
albany,ga,38440,799,56250,844,21425,777
albany,or,70636,1143,88927,1282,46533,1044
albany--schenectady,ny,69713,1121,97706,1292,43027,1022
albuquerque,nm,57603,978,71483,1037,38258,917
alexandria,la,45180,814,57644,730,35826,839
allentown,pa--nj,67895,1176,87374,1259,39182,1102
alton,il--mo,55422,795,64198,797,28775,791
altoona,pa,46981,738,62113,746,29103,722
amarillo,tx,49735,862,66512,904,32821,831
ames,ia,49226,948,82407,1070,32415,927
anchorage,ak,80270,1403,106725,1618,49448,1207
anderson,in,52366,751,63363,687,32767,824
anderson,sc,49098,758,63438,685,28980,819
ann arbor,mi,69999,1189,96728,1327,45225,1115
anniston--oxford,al,41957,735,56260,666,28855,775
antioch,ca,86057,1939,108942,2032,57402,1807
appleton,wi,61590,920,77171,1045,37138,817
arecibo,pr,19210,288,22522,204,11561,440
asheville,nc,53283,972,69502,933,36753,1008
athens-clarke county,ga,44152,922,81788,1058,30334,855
atlanta,ga,72495,1285,95309,1331,48001,1245
atlantic city,nj,62886,1335,85862,1520,34751,1122
auburn,al,38722,744,62273,778,23025,734
augusta-richmond county,ga--sc,56299,925,72896,904,33296,941
austin,tx,80941,1470,111518,1675,56689,1352
avondale--goodyear,az,78920,1395,86467,1386,65433,1407
bakersfield,ca,54215,1127,81058,1306,36395,983
baltimore,md,78589,1417,102021,1513,49399,1333
barnstable town,ma,82412,1519,96183,1560,47677,1370
baton rouge,la,61472,942,84526,982,34538,921
battle creek,mi,43532,738,60935,681,30475,781
bay city,mi,47310,677,55631,657,30982,711
beaumont,tx,58119,856,73901,794,40175,892
bellingham,wa,64413,1255,88332,1402,42460,1174
bend,or,69280,1491,80829,1481,51524,1501
billings,mt,58998,932,71536,1047,38778,844
binghamton,ny--pa,46894,815,70106,895,24583,777
birmingham,al,58251,986,75630,1034,32513,940
bismarck,nd,61919,888,89441,1062,35456,854
blacksburg,va,51662,997,81186,1046,34567,976
bloomington,in,48797,940,81416,928,24743,944
bloomington--normal,il,63418,920,91184,1043,33093,810
boise city,id,68887,1152,86839,1199,45337,1097
bonita springs,fl,77775,1282,87781,1181,50982,1444
boston,ma--nh--ri,93988,1794,124395,2035,56417,1595
boulder,co,79272,1595,118328,1484,50274,1659
bowling green,ky,49644,815,80480,986,32975,759
bremerton,wa,77345,1507,96739,1564,51983,1425
bridgeport--stamford,ct--ny,94317,1833,125760,2142,55544,1485
bristol--bristol,tn--va,44993,693,59468,752,26329,638
brownsville,tx,40566,688,53925,591,29270,801
buffalo,ny,57875,885,78228,941,32706,837
burlington,nc,56800,809,70946,800,36463,818
burlington,vt,68819,1419,104931,1648,36969,1277
camarillo,ca,91934,2035,106019,2022,71250,2050
canton,oh,51851,771,65522,818,32906,736
cape coral,fl,59500,1055,67794,946,44659,1210
carbondale,il,40347,704,77467,793,20711,674
casper,wy,57734,863,66285,1016,32784,747
cedar rapids,ia,61184,930,77026,1016,32168,774
champaign,il,49310,954,78808,1016,31750,936
charleston,wv,48987,657,58965,591,31859,718
charleston--north charleston,sc,71003,1240,89241,1269,48393,1212
charlotte,nc--sc,72998,1244,94088,1323,49341,1186
charlottesville,va,65601,1261,103720,1364,46549,1211
chattanooga,tn--ga,55223,881,74878,888,36036,876
cheyenne,wy,64388,1009,81015,1196,30786,828
chicago,il--in,75158,1311,97307,1476,45217,1149
chico,ca,62055,1182,89335,1301,39843,1127
cincinnati,oh--ky--in,66314,999,91453,1140,37629,862
clarksville,tn--ky,52004,967,70308,1015,40523,943
cleveland,oh,57500,920,77102,1018,34312,830
cleveland,tn,51824,815,74657,878,28739,777
coeur d'alene,id,59037,1035,67466,1083,39534,967
college station--bryan,tx,49987,999,82621,1148,33853,963
colorado springs,co,69908,1306,86483,1362,48687,1246
columbia,mo,53023,978,87621,1086,31759,898
columbia,sc,56501,993,78061,1031,35863,958
columbus,ga--al,46827,857,60135,819,35106,876
columbus,oh,68300,1116,95641,1285,45139,1002
concord,ca,136653,2448,162411,2682,93331,2241
concord,nc,54861,928,72616,987,35988,890
conroe--the woodlands,tx,92268,1433,120471,1646,53249,1218
conway,ar,45565,841,74691,871,33039,826
corpus christi,tx,56183,1048,76096,1033,37549,1055
corvallis,or,58633,1193,97789,1301,33650,1157
dallas--fort worth--arlington,tx,70052,1265,92060,1379,49738,1199
dalton,ga,52796,720,66444,770,37689,702
danbury,ct--ny,88822,1649,110330,1840,52956,1462
davenport,ia--il,60484,840,76598,916,33837,746
davis,ca,60128,1688,130544,2017,42289,1699
dayton,oh,56770,862,74761,917,34046,813
decatur,al,52527,793,60603,892,34416,693
decatur,il,47242,704,66884,746,26752,664
dekalb,il,55727,1085,94904,1516,25611,918
deltona,fl,55855,975,61076,914,35928,1062
denton--lewisville,tx,84451,1447,116327,1698,55287,1238
denver--aurora,co,82466,1552,104486,1645,57413,1466
des moines,ia,68202,1093,87220,1218,42921,957
detroit,mi,61825,986,77014,1004,36509,968
dothan,al,45845,741,66316,794,30531,724
dover,de,56815,1149,74679,1153,39470,1145
dover--rochester,nh--me,63808,1235,85473,1459,51132,1107
dubuque,ia--il,56439,866,65107,938,41152,818
duluth,mn--wi,55119,884,72743,942,28690,821
durham,nc,64537,1147,96596,1188,42966,1119
eau claire,wi,60961,898,78125,1009,37500,835
el centro--calexico,ca,48348,941,78704,1088,26491,881
elizabethtown--radcliff,ky,50182,835,61298,787,43089,861
elkhart,in--mi,49443,794,59289,766,32729,830
elmira,ny,54731,757,75400,744,30075,753
el paso,tx--nm,45971,814,56532,787,32184,829
el paso de robles (paso robles)--atascadero,ca,80337,1672,84400,1742,74140,1644
erie,pa,47534,777,65366,798,27664,760
eugene,or,55359,1134,79283,1251,35530,1063
evansville,in--ky,51005,811,66698,808,32902,813
fairbanks,ak,68416,1418,95234,1587,52399,1290
fairfield,ca,88333,1832,97670,1927,75552,1757
fajardo,pr,18059,361,22990,303,10344,460
fargo,nd--mn,59893,891,90086,1139,37799,808
fayetteville,nc,45755,979,61073,1003,36966,962
fayetteville--springdale--rogers,ar--mo,59650,933,82961,1072,36762,855
flagstaff,az,58834,1389,96715,1407,42351,1378
flint,mi,48080,759,61390,754,31492,767
florence,al,41821,631,59211,583,25219,651
florence,sc,48027,801,64557,764,31267,823
florida--imbéry--barceloneta,pr,18960,243,22973,183,12780,516
fort collins,co,73118,1403,91317,1391,50981,1414
fort smith,ar--ok,42802,709,57654,721,30768,707
fort walton beach--navarre--wright,fl,65334,1269,81404,1275,40598,1264
fort wayne,in,53333,803,65913,826,34646,775
four corners,fl,66055,1339,79319,1112,63047,1481
frederick,md,102582,1635,120045,1794,60621,1467
fredericksburg,va,90382,1510,115899,1637,53356,1377
fresno,ca,60189,1194,85633,1428,36073,1082
gainesville,fl,46781,1000,81615,979,32190,1017
gainesville,ga,61123,1013,75853,1058,40190,974
gastonia,nc--sc,55233,860,71590,885,36269,833
gilroy--morgan hill,ca,118189,2428,161396,2860,72333,2065
glens falls,ny,58929,981,83579,1049,39168,947
grand forks,nd--mn,51744,878,86429,1128,31105,809
grand junction,co,58489,1005,66148,1027,42193,971
grand rapids,mi,63743,975,79203,973,39163,978
great falls,mt,46247,825,62488,904,32599,758
greeley,co,60556,1193,81901,1226,40364,1163
green bay,wi,60284,879,84647,1041,36920,791
greensboro,nc,54638,951,74042,1028,37949,919
greenville,nc,51288,903,78082,1052,39874,849
greenville,sc,55396,868,68226,833,39607,895
guayama,pr,19074,236,22628,210,10095,399
gulfport,ms,48385,907,64672,842,33095,937
hagerstown,md--wv--pa,55794,980,69580,1083,40244,920
hammond,la,37833,798,60408,720,21676,836
hanford,ca,62251,1051,83001,1274,36932,928
hanover,pa,62484,971,75845,1108,38842,905
harlingen,tx,34144,662,47290,559,26025,763
harrisburg,pa,68329,1037,83079,1108,42226,969
harrisonburg,va,58939,996,83479,1028,43422,978
hartford,ct,71870,1304,97675,1545,40118,1101
hattiesburg,ms,46102,840,62144,694,31181,870
hemet,ca,46332,1133,50981,1059,39583,1183
hickory,nc,49015,700,60178,710,32206,693
high point,nc,49642,865,66573,878,32507,856
hilton head island,sc,89843,1359,100438,1349,57867,1379
holland,mi,61231,976,69886,1027,39796,909
homosassa springs--beverly hills--citrus springs,fl,48493,655,54520,555,26405,903
houma,la,50320,785,68988,704,24419,809
houston,tx,66754,1197,92868,1299,44178,1138
huntington,wv--ky--oh,48380,726,62591,661,25672,768
huntsville,al,66423,892,93823,930,35580,868
idaho falls,id,60029,850,71484,912,30790,797
indianapolis,in,61838,1009,83528,1082,38245,950
indio--cathedral city,ca,66746,1365,80325,1439,40443,1281
iowa city,ia,57051,1119,97454,1383,30771,973
jackson,mi,43335,760,56413,727,25345,780
jackson,ms,53753,934,73515,959,35534,922
jackson,tn,47009,865,61949,855,25888,880
jacksonville,fl,62909,1138,80605,1162,42348,1120
jacksonville,nc,45066,942,54765,1090,35350,877
janesville,wi,58687,892,70891,903,41444,885
johnson city,tn,41989,765,56523,809,27502,735
jonesboro,ar,40635,741,76388,769,27980,733
joplin,mo,46836,714,57864,705,31501,718
juana díaz,pr,18698,227,22951,194,9799,471
kailua (honolulu county)--kaneohe,hi,106602,2177,122603,2004,70209,2415
kalamazoo,mi,53915,858,76359,905,33171,826
kankakee,il,57418,1016,80263,1129,35788,933
kansas city,mo--ks,66625,1077,88686,1160,42865,1005
kennewick--pasco,wa,67034,1091,83160,1139,38940,1043
kenosha,wi--il,59905,1076,81874,1195,36602,966
killeen,tx,50758,955,70956,1064,37171,903
kingsport,tn--va,53207,664,67332,669,25108,644
kissimmee,fl,53566,1203,63028,1081,39180,1334
knoxville,tn,58875,916,76680,929,35892,906
la crosse,wi--mn,53997,874,70202,937,36361,850
lady lake--the villages,fl,56138,696,61589,636,39176,1161
lafayette,in,45058,897,74904,922,28505,883
lafayette,la,55509,853,76946,854,29225,853
lafayette--louisville--erie,co,105713,1837,121472,1914,71938,1787
lake charles,la,45776,799,64537,660,31710,872
lake jackson--angleton,tx,62724,1033,77892,844,49958,1106
lakeland,fl,52656,932,62316,850,38218,981
lancaster,pa,67196,1091,80265,1129,44038,1053
lancaster--palmdale,ca,63149,1423,78617,1534,41743,1318
lansing,mi,53668,914,73912,967,33376,870
laredo,tx,56909,927,76313,1074,32682,860
las cruces,nm,44470,787,61514,825,24918,771
las vegas--henderson,nv,61818,1214,80559,1248,45075,1193
lawrence,ks,57517,1026,92372,1206,38150,959
lawton,ok,46997,780,63701,727,34791,811
lebanon,pa,57960,888,76307,903,32208,881
leesburg--eustis--tavares,fl,44867,794,53806,676,29309,1006
lee's summit,mo,100110,1380,112691,1448,56233,1247
leominster--fitchburg,ma,59401,1108,82073,1353,35442,958
lexington-fayette,ky,57424,989,85515,1082,37201,931
lima,oh,49353,749,64777,752,33459,728
lincoln,ne,58409,927,81256,1049,36657,856
little rock,ar,55092,876,73160,931,36716,843
livermore,ca,136875,2528,164309,2609,95860,2404
lodi,ca,66615,1296,86152,1442,54784,1184
logan,ut,60452,990,81320,1147,35671,847
longmont,co,82407,1524,98889,1501,53231,1549
longview,tx,52643,836,69306,804,32119,861
longview,wa--or,49935,922,62320,944,35503,902
lorain--elyria,oh,47039,772,65345,839,24480,703
los angeles--long beach--anaheim,ca,76278,1749,107283,2058,56257,1642
louisville/jefferson county,ky--in,60137,956,74604,1020,35718,892
lubbock,tx,52292,981,78385,992,37280,976
lynchburg,va,59283,861,76555,851,40724,868
mcallen,tx,42462,680,51375,617,30311,763
mckinney,tx,94639,1762,120586,1949,60289,1488
macon,ga,40338,838,65332,831,30627,843
madera,ca,54070,1155,91590,1356,33883,997
madison,wi,73465,1254,108002,1517,46564,1123
manchester,nh,71302,1417,101992,1661,45843,1223
mandeville--covington,la,75503,1285,90336,1310,44055,1253
mansfield,oh,45010,687,57476,676,31647,697
manteca,ca,77955,1695,94272,1793,57237,1583
marysville,wa,90060,1609,99080,1714,62148,1411
mauldin--simpsonville,sc,85469,1148,97541,1165,43349,1091
mayagüez,pr,15844,255,21985,185,8082,383
medford,or,55389,1065,74533,1040,38467,1077
memphis,tn--ms--ar,52270,977,74348,1008,34487,958
merced,ca,57450,1119,77421,1184,38787,1070
miami,fl,60073,1383,75197,1294,44715,1440
michigan city--la porte,in--mi,49969,771,64437,842,27895,714
middletown,oh,52899,827,65629,795,34326,835
midland,tx,78559,1337,103568,1292,47846,1403
milwaukee,wi,63416,1028,88130,1223,38241,916
minneapolis--st. paul,mn--wi,82064,1305,103619,1430,47361,1155
mission viejo--lake forest--san clemente,ca,113540,2301,136697,2411,76752,2210
missoula,mt,55457,969,73814,1093,36909,891
mobile,al,48446,854,64094,862,29082,848
modesto,ca,65908,1322,81629,1389,45803,1255
monroe,la,36280,699,58426,583,25691,745
montgomery,al,52230,896,69465,871,41302,910
morgantown,wv,49108,818,93912,944,25525,794
mount vernon,wa,63059,1186,77005,1313,44076,1061
muncie,in,41671,680,60228,653,25823,696
murfreesboro,tn,67373,1189,85987,1304,48026,1104
murrieta--temecula--menifee,ca,86265,1906,97916,1967,69516,1830
muskegon,mi,51971,742,65189,751,29281,748
myrtle beach--socastee,sc--nc,54571,946,62228,850,41428,1051
nampa,id,56823,953,67857,959,35167,943
napa,ca,90108,1816,110493,1738,74089,1878
nashua,nh--ma,87903,1516,111333,1752,48733,1301
nashville-davidson,tn,70275,1225,91317,1248,48165,1207
newark,oh,53268,813,66375,839,33275,794
new bedford,ma,56359,1006,85609,1332,34809,898
new haven,ct,70013,1402,95471,1609,37702,1203
new orleans,la,52336,958,68306,930,32977,972
new york--newark,ny--nj--ct,82437,1687,119454,2110,55327,1482
norman,ok,53159,936,92198,1103,32049,853
north port--port charlotte,fl,51325,882,55614,826,36040,1098
norwich--new london,ct--ri,71461,1272,95638,1434,47519,1142
ocala,fl,48355,846,56758,699,33991,977
odessa,tx,66422,1012,84395,799,49702,1137
ogden--layton,ut,77624,1205,88999,1284,50250,1072
oklahoma city,ok,57637,931,76885,985,38673,891
olympia--lacey,wa,73364,1355,93223,1454,47339,1276
omaha,ne--ia,68489,1107,88742,1257,42492,958
orlando,fl,64174,1271,81418,1217,47174,1307
oshkosh,wi,58268,831,79542,881,36974,777
owensboro,ky,45644,802,64305,806,30357,800
oxnard,ca,79330,1675,103056,1798,62509,1637
palm bay--melbourne,fl,57448,991,64256,905,43590,1152
palm coast--daytona beach--port orange,fl,52303,972,60307,854,38852,1145
panama city,fl,59754,1025,64632,935,55293,1197
parkersburg,wv--oh,42243,603,55707,571,24760,652
pensacola,fl--al,53385,951,65437,881,41724,1023
peoria,il,58425,841,73266,915,28811,741
petaluma,ca,95682,1974,107974,1957,71080,1990
philadelphia,pa--nj--de--md,72494,1276,94377,1406,42340,1160
phoenix--mesa,az,66933,1179,83276,1174,48279,1184
pittsburgh,pa,63325,908,81495,941,37871,872
pocatello,id,51003,721,68000,855,27249,662
ponce,pr,15362,254,22431,214,7569,363
port arthur,tx,56976,775,65590,619,35969,904
porterville,ca,58458,1051,69835,1050,32552,1053
port huron,mi,51361,801,64143,785,29974,829
portland,me,69000,1237,90855,1396,46243,1140
portland,or--wa,76942,1482,101439,1652,52119,1366
port st. lucie,fl,63321,1052,70156,965,44093,1220
portsmouth,nh--me,83609,1513,98425,1718,56293,1319
pottstown,pa,80184,1216,101644,1406,40011,987
poughkeepsie--newburgh,ny--nj,81397,1520,106076,1739,44439,1337
prescott valley--prescott,az,59080,1004,65448,950,46063,1106
providence,ri--ma,68273,1215,92446,1503,36697,1005
provo--orem,ut,77321,1274,97854,1397,44804,1106
pueblo,co,48359,850,62142,847,30130,854
racine,wi,52817,905,75502,1016,30160,802
raleigh,nc,82128,1284,107832,1400,47620,1189
rapid city,sd,54157,908,71585,982,30938,834
reading,pa,62925,1002,77955,1084,40987,928
redding,ca,60721,1105,73399,1091,48404,1115
reno,nv--ca,70234,1259,90683,1350,48790,1191
richmond,va,65978,1197,90245,1249,40823,1160
riverside--san bernardino,ca,71790,1514,90700,1634,48729,1406
roanoke,va,54948,894,73637,947,31948,854
rochester,mn,73859,1070,95661,1110,43391,1015
rochester,ny,61529,998,84811,1094,35032,929
rockford,il,57493,883,74128,924,32282,835
rock hill,sc,55902,1022,73708,1007,40733,1040
rocky mount,nc,46152,833,62982,873,27088,806
rome,ga,39521,785,58867,811,27525,780
round lake beach--mchenry--grayslake,il--wi,84475,1343,95269,1401,51396,1198
sacramento,ca,76222,1510,101141,1698,50818,1396
saginaw,mi,39534,687,52434,633,28125,762
st. augustine,fl,64291,1029,71264,990,40485,1102
st. cloud,mn,54086,908,75190,1015,40866,861
st. george,ut,68271,1116,76214,1084,55158,1155
st. joseph,mo--ks,44138,766,57832,735,26344,785
st. louis,mo--il,66202,1014,86599,1126,37611,904
salem,or,63860,1178,80687,1347,40935,1069
salinas,ca,74875,1665,96249,1916,52957,1583
salisbury,md--de,52013,1046,67172,1087,37804,1017
salt lake city--west valley city,ut,79491,1307,96261,1415,50355,1183
san angelo,tx,54128,876,70560,780,36869,974
san antonio,tx,60075,1073,77660,1103,41754,1054
san diego,ca,83129,1866,111383,2127,60435,1755
san francisco--oakland,ca,111700,2189,144534,2477,84762,2038
san germán--cabo rojo--sabana grande,pr,16859,206,20221,179,10299,450
san jose,ca,133543,2478,167708,2614,98793,2407
san juan,pr,23646,449,29174,367,14409,528
san marcos,tx,43587,1090,75593,1134,32768,1082
santa barbara,ca,78632,1862,131934,2108,57192,1837
santa clarita,ca,103402,2267,123980,2425,65543,2084
santa cruz,ca,94174,2005,112329,2245,66431,1909
santa fe,nm,55814,1105,68134,1154,40235,1025
santa maria,ca,73031,1481,85688,1546,52576,1422
santa rosa,ca,84439,1819,104005,1922,61658,1740
sarasota--bradenton,fl,64209,1053,70924,924,46941,1250
saratoga springs,ny,92125,1375,121343,1392,55061,1358
savannah,ga,57438,1118,73727,1139,38090,1105
scranton,pa,51614,805,66077,827,33939,790
seaside--monterey,ca,78224,1934,105610,2094,71751,1881
seattle,wa,93337,1749,119853,1941,62643,1630
sebastian--vero beach south--florida ridge,fl,58266,902,66260,838,35747,1036
sebring--avon park,fl,45990,606,52840,467,32275,782
sheboygan,wi,55092,828,65127,900,42848,741
sherman,tx,51625,882,62753,902,31684,874
shreveport,la,46613,849,59784,826,25930,867
simi valley,ca,100320,2289,116155,2336,80281,2208
sioux city,ia--ne--sd,57377,858,80334,880,35036,842
sioux falls,sd,60222,944,82486,1150,40734,838
slidell,la,59964,974,75187,965,32115,985
south bend,in--mi,52266,825,63819,793,30596,870
south lyon--howell,mi,82399,1246,92893,1392,45789,1008
spartanburg,sc,53150,855,66788,834,31669,875
spokane,wa,57825,1028,75665,1146,40093,951
springfield,il,58331,883,79193,968,29545,813
springfield,ma--ct,62924,1120,89618,1304,31723,961
springfield,mo,42903,787,62930,842,28932,759
springfield,oh,42144,729,57940,722,28540,729
spring hill,fl,50454,849,56700,768,36740,985
state college,pa,57463,1161,96595,1411,34414,1086
stockton,ca,58808,1229,75947,1329,41075,1177
sumter,sc,52865,821,60230,787,39518,877
syracuse,ny,59568,936,82669,1039,33489,858
tallahassee,fl,53084,1042,84863,1088,34620,1022
tampa--st. petersburg,fl,58498,1118,71145,1049,42289,1175
temple,tx,56788,969,69697,1010,43841,949
terre haute,in,40323,689,60925,675,22209,694
texarkana--texarkana,tx--ar,45768,724,70804,643,33207,783
texas city,tx,55530,935,66766,853,38666,1029
thousand oaks,ca,117220,2433,137011,2583,81934,2282
toledo,oh--mi,51937,839,70621,923,30269,767
topeka,ks,54615,808,68397,788,38842,831
tracy,ca,98611,2019,109797,2156,83251,1864
trenton,nj,73178,1391,95092,1597,39120,1181
tucson,az,54387,921,72577,953,35565,897
tulsa,ok,57520,934,76914,1010,36980,876
turlock,ca,56624,1196,77040,1269,40317,1168
tuscaloosa,al,50350,939,80605,1018,31245,896
twin rivers--hightstown,nj,114983,2119,144867,2438,60749,1457
tyler,tx,55175,975,67659,914,41922,998
urban honolulu,hi,85362,1810,109695,1964,63699,1733
utica,ny,53396,877,69721,944,34388,781
vacaville,ca,91287,1841,115526,1905,65382,1777
valdosta,ga,39983,794,55439,731,32329,832
vallejo,ca,82523,1790,101934,1878,52794,1712
victoria,tx,55308,932,70554,882,36281,985
victorville--hesperia,ca,56833,1250,70825,1285,40128,1204
vineland,nj,52886,1215,70161,1348,33432,1117
virginia beach,va,66635,1279,85756,1397,46611,1183
visalia,ca,59217,1186,74214,1309,41862,1087
waco,tx,44636,861,66866,822,30851,876
waldorf,md,100722,1759,109856,1876,68697,1651
warner robins,ga,61821,960,80662,1022,38052,924
washington,dc--va--md,106656,1906,138287,2140,70579,1745
waterbury,ct,55444,1126,87009,1356,31966,983
waterloo,ia,57913,856,75158,882,40041,840
watsonville,ca,64935,1507,88869,1478,56793,1526
wausau,wi,59629,800,75075,829,37563,765
weirton--steubenville,wv--oh--pa,45313,635,57294,574,33917,690
wenatchee,wa,59330,1056,75830,1115,43674,1012
west bend,wi,65523,1029,82356,1174,43914,841
westminster--eldersburg,md,101528,1560,119947,1818,45131,1221
wheeling,wv--oh,44164,623,57063,609,26450,655
wichita,ks,58031,883,75097,942,36076,845
wichita falls,tx,49079,785,67200,802,35546,773
williamsburg,va,88285,1292,99494,1332,44783,1234
wilmington,nc,57335,1153,80510,1216,38474,1109
winchester,va,81457,1214,97291,1280,60138,1160
winston-salem,nc,52432,859,70605,912,31212,823
winter haven,fl,49085,819,52881,726,36025,923
worcester,ma--ct,75006,1322,104165,1640,41662,1117
yakima,wa,51938,914,68950,967,33223,869
yauco,pr,16003,175,18460,160,10795,369
york,pa,61992,1036,78768,1099,37404,971
youngstown,oh--pa,43620,664,57027,654,25311,674
yuba city,ca,59603,1123,81133,1210,36554,1078
yuma,az--ca,47201,806,54529,725,31723,879
zephyrhills,fl,44360,655,48789,538,36764,936
